date,humidity,temp,pressure
19961123-20:00,67,12,1015
19961123-21:00,67,12,1015
19961123-22:00,67,11,1014
19961123-23:00,76,10,1014
19961124-00:00,76,10,1015
19961124-01:00,71,11,-9999
19961124-02:00,72,12,-9999
19961124-03:00,63,13,-9999
19961124-04:00,55,16,1017
19961124-05:00,52,19,1016
19961124-06:00,38,21,1016
19961124-07:00,38,22,1015
19961124-08:00,31,24,1014
19961124-09:00,29,24,1013
19961124-10:00,27,24,1013
19961124-11:00,31,22,1013
19961124-12:00,37,19,1013
19961124-13:00,48,16,1014
19961124-14:00,45,17,1014
19961124-15:00,48,16,1014
19961124-16:00,51,15,1013
19961124-17:00,58,13,1013
19961124-18:00,51,14,1013
19961124-19:00,62,12,1013
19961124-20:00,58,13,1013
19961124-21:00,71,11,1013
19961124-22:00,62,12,1013
19961124-23:00,67,11,1013
19961125-00:00,62,11,1013
19961125-01:00,58,12,1014
19961125-02:00,54,13,1015
19961125-03:00,51,15,1015
19961125-04:00,42,17,1016
19961125-05:00,37,20,1016
19961125-06:00,33,22,1015
19961125-08:00,27,24,1013
19961125-09:00,27,24,1013
19961125-10:00,26,25,1012
19961125-11:00,29,23,1012
19961125-12:00,37,20,1013
19961125-13:00,45,17,-9999
19961125-14:00,48,17,1014
19961125-15:00,55,16,1014
19961125-16:00,55,15,1014
19961125-17:00,55,15,1014
19961125-18:00,59,14,1014
19961125-19:00,59,14,1013
19961125-20:00,55,14,-9999
19961125-21:00,62,12,-9999
19961125-23:00,67,12,1014
19961126-00:00,63,13,1014
19961126-01:00,62,12,-9999
19961126-02:00,55,16,1016
19961126-03:00,48,17,1017
19961126-04:00,None,None,1017
19961126-05:00,29,25,1017
19961126-06:00,26,25,1016
19961126-07:00,23,27,1015
19961126-08:00,24,27,1014
19961126-09:00,23,27,1014
19961126-10:00,23,28,1013
19961126-11:00,36,24,1013
19961126-12:00,43,21,1014
19961126-13:00,49,19,1014
19961126-15:00,49,18,1014
19961126-16:00,52,17,1014
19961126-17:00,55,17,1014
19961126-18:00,63,15,1014
19961126-19:00,59,15,1014
19961126-20:00,59,15,1014
19961126-21:00,59,15,1014
19961126-22:00,63,14,1014
